Food Item Name,Label,Description,Amount,Type,Other Info,Dinning Hall
Sausage and Pepper Sub,,"A sourdough sub roll with Italian sausage, sauteed peppers, onions, marinara sauce and shredded cheese- baked until golden brown.",1 Sandwich,Lunch,Atomic Pizza: Subs/Sandwiches,Turner Place at Lavery Hall
Alfredo Sauce,vegetarian,A cream based garlic flavored sauce.,6 Oz,Lunch,Atomic Pizza: Pastas & Sauces,Turner Place at Lavery Hall
Italian Meat Sauce,,Red tomato sauce with Italian sausage.,6 Oz,Lunch,Atomic Pizza: Pastas & Sauces,Turner Place at Lavery Hall
"Pasta, Rotini",vegan,"Tender, tri-colored rotini.",8 Oz,Lunch,Atomic Pizza: Pastas & Sauces,Turner Place at Lavery Hall
Rosemary Garlic Ciabatta Sourdough,vegan,Sourdough bread with garlic and rosemary.,1 Loaf,Lunch,Atomic Pizza: Pastas & Sauces,Turner Place at Lavery Hall
Spinach Alfredo Sauce,vegetarian,A creamy alfredo sauce with spinach florentine mix.,6 Oz,Lunch,Atomic Pizza: Pastas & Sauces,Turner Place at Lavery Hall
Chicken Caesar Salad,,"Romaine lettuce tossed with shredded Asiago cheese, grilled chicken, croutons, and Caesar dressing.",8 Oz,Lunch,Atomic Pizza: Grab-n-Go,Turner Place at Lavery Hall
Chocolate Brownie,vegetarian,Rich chocolate brownie.,1 Brownie,Lunch,Atomic Pizza: Grab-n-Go,Turner Place at Lavery Hall
Chocolate Coconut Cannoli's,vegetarian,"Cannoli with a chocolate chip and coconut filling, garnished with almonds.",2 Each,Lunch,Atomic Pizza: Grab-n-Go,Turner Place at Lavery Hall
Cookies & Cream Cannoli,vegetarian,Cannoli with a cookies and cream filling garnished with crushed oreos.,2 Each,Lunch,Atomic Pizza: Grab-n-Go,Turner Place at Lavery Hall
Death by Chocolate Cake,vegetarian,"A decadent chocolate cake with layers of chocolate ganache, topped with chocolate frosting and chocoalte shavings.",1 Piece,Lunch,Atomic Pizza: Grab-n-Go,Turner Place at Lavery Hall
GNG Chicken Bacon Ranch Wrap,,"Grab n' Go chicken, bacon, ranch wrap made with fresh Roma tomatos, sharp Cheddar cheese, and lettuce mix.",1 Each,Lunch,Atomic Pizza: Grab-n-Go,Turner Place at Lavery Hall
"Salad, Caesar",vegetarian,"Romaine lettuce, shredded cheese, seasoned croutons, and flavorful Caesar dressing.",1 Salad,Lunch,Atomic Pizza: Grab-n-Go,Turner Place at Lavery Hall
YES TO GO Fresh Mixed Fruit Cup,vegan,"Grab-n-go fresh fruit including pineapple, honeydew, cantaloupe, grapes, and strawberries.",1 Each,Lunch,Atomic Pizza: Grab-n-Go,Turner Place at Lavery Hall
Beef Chilli,,"A hearty beef chili with corn, black beans, tomatoes, onions, and spices.",10 Oz,Lunch,Soup Garden: Today's Special,Turner Place at Lavery Hall
Potato and Leek Soup,vegetarian,A cream-based soup filled with potatoes and leeks and topped with chives.,10 Oz,Lunch,Soup Garden: Today's Special,Turner Place at Lavery Hall
Rosemary Parmesan Challah,vegetarian,A rosemary and parmesan challah bread.,2 Oz,Lunch,Soup Garden: Today's Special,Turner Place at Lavery Hall
Bread Bowl,vegan,Sourdough bread bowls for soup.,1 Bowl,Lunch,Soup Garden: Soups & Breads,Turner Place at Lavery Hall
Multi-grain Bread,vegan,Multi-grain bread with pumpkin and sunflower seeds flavored with honey.,2 Oz,Lunch,Soup Garden: Soups & Breads,Turner Place at Lavery Hall
Rosemary Garlic Ciabatta Sourdough,vegan,Sourdough bread with garlic and rosemary.,1 Loaf,Lunch,Soup Garden: Soups & Breads,Turner Place at Lavery Hall
Sourdough Baguette,vegetarian,Sourdough baguette loaf.,1/4 Loaf,Lunch,Soup Garden: Soups & Breads,Turner Place at Lavery Hall
Tomato Basil Bread Soup,vegan,A creamy tomato basil soup with Focaccia bread.,10 Oz,Lunch,Soup Garden: Soups & Breads,Turner Place at Lavery Hall
Black Olives,vegan,Sliced black olives.,1 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Bleu Cheese,vegetarian,Bleu cheese crumbles.,1 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Broccoli Flowerettes,vegan,"Fresh, broccoli flowerettes.",2 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Carrots,vegan,"Fresh, shredded carrots.",1 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
"Cheese, Feta",vegetarian,Crumbled feta cheese.,1 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
"Cheese, Shredded Parmesan",vegetarian,Shredded parmesan cheese.,1 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Craisins,vegan,Sweetened dried cranberries.,1 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Croutons,vegetarian,Homestyle croutons.,3/4 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
"Eggs, Chopped",vegetarian,"Fresh, chopped hard boiled eggs.",1 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Feathered Onions,vegan,"Fresh, feathered red onions.",1 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Fresh Mesclun Mix Salad Greens,vegan,Fresh mesclun salad greens.,3 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Fresh Romaine,vegan,Fresh romaine lettuce.,5 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Fresh Spinach,vegan,Fresh spinach.,3 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Garbanzo Beans,vegan,Garbanzo beans.,2 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Grape Tomatoes,vegan,"Fresh, whole grape tomatoes.",2 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Grilled Chicken,halal,"Seasoned, grilled chicken breast.",5 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Grilled Flat Iron Steak,,"Seasoned, grilled flat iron steak.",4 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Grilled Lime Shrimp,,Lime-marinated shrimp grilled until pink and juicy.,4 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Grilled Salmon,,"Fresh, seasoned salmon grilled until tender and flaky.",4 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Grilled Tomato Tofu,vegan,Organic tofu with a sweet and spicy tomato marinade.,4 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Pang Pang Salad,,"Ramen noodles mixed with red pepper, cucumber, green onion, sesame seeds, Thai peanut dressing, sesame oil, soy sauce, and a variety of seasonings.",12 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Rice Noodle Salad*,,"Thai rice noodles tossed in Thai peanut dressing, sesame oil, and soy sauce and mixed with red pepper, green onion, and a variety of other seasonings.",9 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
"Salad, Beef and Bleu Cheese",,"Grilled steak served on a bed of mesclun greens & spinach with red onions, cucumber slices, grape tomatoes, and bleu cheese crumbles tossed with a bleu cheese dressing.",10 Oz.,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
"Salad, Caesar Side",,Romaine lettuce topped with parmesan cheese and croutons with a creamy caesar dressing.,1 Ea,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
"Salad, Garden Side",vegan,"A garden salad with mixed salad greens, tomatoes, carrots, cucumbers, and choice of dressing.",1 Ea,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
"Salad, Greek Side",vegetarian,"Mesclun greens with english cucumber, red onion, sliced black olives, feta cheese and topped with a greek dressing.",1 Ea,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
"Salad, Raspberry Mandarin",,"Mesclun greens, mandarin oranges, walnut pieces, craisins, bleu cheese crumbles, grape tomatoes, cucumber slices and red onions topped with a raspberry vinaigrette.",14 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Sliced Cucumbers,vegan,"Fresh, sliced cucumbers.",1 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Sliced Red Peppers,vegan,"Fresh, sliced red peppers.",1 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Sunflower Seeds,vegan,Salted sunflower seeds.,3/4 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Walnuts,vegan,Walnut pieces.,1 Oz,Lunch,Soup Garden: Salads,Turner Place at Lavery Hall
Balsamic Vinaigrette,vegan,Traditional balsamic vinagrette dressing.,2 Tbsp,Lunch,Soup Garden: Salad Dressings,Turner Place at Lavery Hall
Greek Dressing,vegan,"Roasted tomato and olive, oil-based dressing.",2 Tbsp,Lunch,Soup Garden: Salad Dressings,Turner Place at Lavery Hall
Lemon Vinaigrette,vegetarian,"Oil-based vinaigrette made with fresh lemon, sweetened with honey.",2 Tbsp,Lunch,Soup Garden: Salad Dressings,Turner Place at Lavery Hall
Raspberry Vinaigrette,vegetarian,A tangy raspberry vinaigrette made with a housemade raspberry puree.,2 Tbsp,Lunch,Soup Garden: Salad Dressings,Turner Place at Lavery Hall
"Salad Dressing, Bleu Cheese",vegetarian,Chunky bleu cheese dressing.,2 Tbsp,Lunch,Soup Garden: Salad Dressings,Turner Place at Lavery Hall
"Salad Dressing, Caesar",,A traditional creamy Caesar dressing.,2 Tbsp,Lunch,Soup Garden: Salad Dressings,Turner Place at Lavery Hall
"Salad Dressing, Fat Free Honey Dijon",vegetarian,"Creamy, fat free, honey dijon dressing.",2 Tbsp,Lunch,Soup Garden: Salad Dressings,Turner Place at Lavery Hall
"Salad Dressing, Fat Free Italian",vegan,Fat-free italian dressing.,2 Tbsp,Lunch,Soup Garden: Salad Dressings,Turner Place at Lavery Hall
"Salad Dressing, Homestyle Ranch",vegetarian,A rich and creamy classic ranch dressing.,2 Tbsp,Lunch,Soup Garden: Salad Dressings,Turner Place at Lavery Hall
"Salad Dressing, Italian",vegan,"Flavorful, golden Italian dressing.",2 Tbsp,Lunch,Soup Garden: Salad Dressings,Turner Place at Lavery Hall
"Salad Dressing,Honey Mustard",vegetarian,Traditional honey mustard dressing.,2 Tbsp,Lunch,Soup Garden: Salad Dressings,Turner Place at Lavery Hall
Thai Peanut Dressing,vegetarian,"A sweet and savory Thai inspired dressing blend of peanut butter, honey, spicy ginger, fresh garlic, and spices.",2 Tbsp,Lunch,Soup Garden: Salad Dressings,Turner Place at Lavery Hall
Chocolate Brownie,vegetarian,Rich chocolate brownie.,1 Brownie,Lunch,Dolci e Caffe Pastries,Turner Place at Lavery Hall
Chocolate Chip Cookie,vegetarian,"A chewy, buttery cookie with semi-sweet chocolate chips.",1 Cookie,Lunch,Dolci e Caffe Pastries,Turner Place at Lavery Hall
Chocolate Hazelnut Croissant,vegetarian,"A buttery croissant filled with a rich, dark chocolate hazelnut spread.",1 Each,Lunch,Dolci e Caffe Pastries,Turner Place at Lavery Hall
GNG Assorted Vanilla Cake Donuts,vegetarian,"A wide variety of grab-n-go vanilla cake donuts with a selection of toppings such as vanilla icing, chocolate sprinkles, coconut, and peanuts.",2 Donuts,Lunch,Dolci e Caffe Pastries,Turner Place at Lavery Hall
GNG Blueberry Jumbo Muffin,vegetarian,Blueberry demi loaf bread.,1 Muffin,Lunch,Dolci e Caffe Pastries,Turner Place at Lavery Hall
GNG Cherry Danish*,,Danish pastry twist with an apricot glaze filled with sweet cherry filling.,1 Each,Lunch,Dolci e Caffe Pastries,Turner Place at Lavery Hall
GNG Chocolate Cake Donuts,vegetarian,Delectable and tasty chocolate cake donuts.,2 Donuts,Lunch,Dolci e Caffe Pastries,Turner Place at Lavery Hall
GNG Chocolate Chip Muffin,vegetarian,Chocolate chip demi loaf bread.,1 Muffin,Lunch,Dolci e Caffe Pastries,Turner Place at Lavery Hall
GNG Cinnamon Bun*,,Cinnamon danish pastry with an apricot glaze.,1 Each,Lunch,Dolci e Caffe Pastries,Turner Place at Lavery Hall
GNG M&M Cookie,vegetarian,A grab-n-go M&M chocolate chunk cookie.,1 Cookie,Lunch,Dolci e Caffe Pastries,Turner Place at Lavery Hall
GNG Triple Chocolate Cookie,vegetarian,A grab-n-go triple chocolate chunk cookie baked with Hershey's milk chocolate kisses and milk chocolate chunks.,1 Cookie,Lunch,Dolci e Caffe Pastries,Turner Place at Lavery Hall
GNG Vegan Blueberry Muffin,vegan,Jumbo vegan blueberry muffin with a caramalized sugar crust.,1 Each,Lunch,Dolci e Caffe Pastries,Turner Place at Lavery Hall
Gluten Free Blueberry Muffin,vegetarian,Fluffy gluten free blueberry muffin.,1 Each,Lunch,Dolci e Caffe Pastries,Turner Place at Lavery Hall
Plain Croissant,vegetarian,"A buttery, flaky croissant.",1 Each,Lunch,Dolci e Caffe Pastries,Turner Place at Lavery Hall
Reese's Cookie,vegetarian,A grab-n-go Reese's peanut butter cup cookie.,1 Cookie,Lunch,Dolci e Caffe Pastries,Turner Place at Lavery Hall
Rocky Road Brownie,vegetarian,"Chocolatey brownie topped with marshmallows, chocolate chips, and pecans.",1 Brownie,Lunch,Dolci e Caffe Pastries,Turner Place at Lavery Hall
Vegan Chocolate Chip Cookie,vegan,Decadent vegan chocolate chip cookie.,1 Each,Lunch,Dolci e Caffe Pastries,Turner Place at Lavery Hall
Banana Foster Crepe,vegetarian,Banana flambe with cinnamon sugar served over sweet crepes with whipped cream.,1 Crepe,Lunch,Dolci e Caffe: Daily Crepe,Turner Place at Lavery Hall
Crepes Fitzgerald,vegetarian,Strawberry flambe served over sweet crepes stuffed with cream cheese blend.,1 Crepe,Lunch,Dolci e Caffe: Daily Crepe,Turner Place at Lavery Hall
Steak N Egg Crepe,,"A crepe filled with grilled steak, onion, peppers, scrambled eggs, and cheddar cheese topped with sour cream.",1 Crepe,Lunch,Dolci e Caffe: Daily Crepe,Turner Place at Lavery Hall
Chocolate Crepe with Topping Varieties,vegetarian,"A favorite, made better with chocolate!",2 Oz,Lunch,Dolci e Caffe: Crepe Fillings,Turner Place at Lavery Hall
"Sweet Crepe, with Topping Varieties",vegetarian,Sweet crepe with choice of two toppings garnished with whipped cream.,1 Crepe,Lunch,Dolci e Caffe: Crepe Fillings,Turner Place at Lavery Hall
Birthday Cake Gelato,vegetarian,Birthday cake flavored gelato with rainbow sprinkles.,3 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Birthday Cake Gelato,vegetarian,Birthday cake flavored gelato with rainbow sprinkles.,5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Birthday Cake Gelato,vegetarian,Birthday cake flavored gelato with rainbow sprinkles.,7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Cappucino Gelato,vegetarian,,3 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Cappucino Gelato,vegetarian,,5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Cappucino Gelato,vegetarian,Creamy cappucino flavored gelato.,7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Caramel Latte Gelato,vegetarian,Indulgent caramel coffee flavored gelato.,3 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Caramel Latte Gelato,vegetarian,Indulgent caramel coffee flavored gelato.,5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Caramel Latte Gelato,vegetarian,Indulgent caramel coffee flavored gelato.,7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Cherry Bomb Gelato,vegetarian,Chocolate cherry flavored gelato.,3 Oz.,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Cherry Bomb Gelato,vegetarian,Chocolate cherry flavored gelato.,5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Cherry Bomb Gelato,vegetarian,Chocolate cherry flavored gelato.,7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Chocolate Caramel Latte Gelato,vegetarian,Indulgent chocolate and caramel latte flavored gelato.,3 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Chocolate Caramel Latte Gelato,vegetarian,Indulgent chocolate and caramel latte flavored gelato.,5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Chocolate Caramel Latte Gelato,vegetarian,Indulgent chocolate and caramel latte gelato.,7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Chocolate Gelato,vegetarian,Indulgent chocolate gelato.,3 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Chocolate Gelato,vegetarian,Indulgent chocolate gelato.,5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Chocolate Gelato,vegetarian,Indulgent chocolate gelato.,7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Chocolate Hazelnut Gelato,vegetarian,A rich chocolate hazelnut flavored gelato.,3 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Chocolate Hazelnut Gelato,vegetarian,A rich chocolate hazelnut flavored gelato.,5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Chocolate Hazelnut Gelato,vegetarian,A rich chocolate hazelnut flavored gelato.,7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Chocolate Peanut Gelato,vegetarian,A sweet and salty chocolate peanut gelato.,3 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Chocolate Peanut Gelato,vegetarian,A sweet and salty chocolate peanut gelato.,5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Chocolate Peanut Gelato,vegetarian,A sweet and salty chocolate peanut gelato.,7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Cinnamon Biscotti Gelato,vegetarian,Delectable cinnamon biscotti gelato.,3 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Cinnamon Biscotti Gelato,vegetarian,,5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Cinnamon Biscotti Gelato,vegetarian,,7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Cookies and Cream Gelato,vegetarian,Cookie and cream flavored gelato garnished with cookie crumbs.,3 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Cookies and Cream Gelato,vegetarian,Cookies and cream gelato topped with cookie crumbs.,5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Cookies and Cream Gelato,vegetarian,Cookies and cream gelato topped with cookie crumbs.,7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Fior Di Latte Gelato,vegetarian,"A simple, sweet, and creamy gelato.",3 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Fior Di Latte Gelato,vegetarian,"A simple, sweet, and creamy gelato.",5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Fior Di Latte Gelato,vegetarian,"A simple, sweet, and creamy gelato.",7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Hazelnut Gelato,vegetarian,"A simple, sweet, and creamy gelato.",3 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Hazelnut Gelato,vegetarian,"A simple, sweet, and creamy gelato.",5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Hazelnut Gelato,vegetarian,"A simple, sweet, and creamy gelato.",7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Mint Chocolate Gelato,vegetarian,A tasty combination of Swiss chocolate gelato and peppermint flavoring.,3 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Mint Chocolate Gelato,vegetarian,A tasty combination of swiss chocolate gelato and peppermint flavoring.,5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Mint Chocolate Gelato,vegetarian,A tasty combination of swiss chocolate gelato and peppermint flavoring.,7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Orange Gelato,vegetarian,Tasty gelato made with fresh oranges.,3 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Orange Gelato,vegetarian,,5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Orange Gelato,vegetarian,,7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Peach Gelato,vegetarian,Creamy gelato made with fresh peaches.,3 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Peach Gelato,vegetarian,Creamy gelato made with fresh peaches.,5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Peach Gelato,vegetarian,Creamy gelato made with fresh peaches.,7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Pineapple Sorbetto,vegetarian,"A light, refreshing pinapple sorbetto.",3 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Pineapple Sorbetto,vegetarian,"A light, refreshing pinapple sorbetto.",5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Pineapple Sorbetto,vegetarian,"A light, refreshing pineapple sorbetto.",7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Pistachio Grand Marnier Gelato,vegetarian,A delicious gelato flavored by rich Grand Marnier and nutty pistachios.,3 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Pistachio Grand Marnier Gelato,vegetarian,A delicious gelato flavored by rich Grand Marnier and nutty pistachios.,5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Pistachio Grand Marnier Gelato,vegetarian,A delicious pistachio flavored gelato.,7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Strawberry Sorbetto,vegetarian,A light strawberry flavored sorbetto.,3 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Strawberry Sorbetto,vegetarian,A light strawberry flavored sorbetto.,5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Strawberry Sorbetto,vegetarian,A light strawberry flavored sorbetto.,7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Tiramisu Gelato,vegetarian,All the flavors of indulgent tiramisu in a cold and creamy gelato.,3 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Tiramisu Gelato,vegetarian,All the flavors of indulgent tiramisu in a cold and creamy gelato.,5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Tiramisu Gelato,vegetarian,All the flavors of indulgent tiramisu in a cold and creamy gelato.,7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
White Chocolate Passion Fruit Gelato,vegetarian,A creamy gelato filled with delicious white chocolate and tropical passion fruit.,3 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
White Chocolate Passion Fruit Gelato,vegetarian,A creamy gelato filled with delicious white chocolate and tropical passion fruit.,5 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
White Chocolate Passion Fruit Gelato,vegetarian,A creamy gelato flavored with white chocolate and tropical passion fruit.,7 Oz,Lunch,Dolci e Caffe: Gelato & Sorbettos,Turner Place at Lavery Hall
Peet's Beverages,,,,Lunch,Peet's Coffee & Tea,Turner Place at Lavery Hall
Qdoba Menu Items,,,,Lunch,Qdoba,Turner Place at Lavery Hall
Jamba Juice Menu Items,,,,Lunch,Jamba Juice,Turner Place at Lavery Hall
Brueggers Menu Items,,,,Lunch,Bruegger's Bagels,Turner Place at Lavery Hall
BBQ Rotisserie Chicken,halal,Rotisserie chicken in a BBQ rub.,1 Piece,Dinner,Firegrill Southern Comfort,Turner Place at Lavery Hall
Chicken Pot Pie,halal,Juicy chicken pieces with vegetables in a creamy sauce topped with waffle and baked until golden brown.,10 Oz,Dinner,Firegrill Southern Comfort,Turner Place at Lavery Hall
Country Fried Steak,,"Fried, breaded steak served with a mushroom sauce.",8 Oz,Dinner,Firegrill Southern Comfort,Turner Place at Lavery Hall
Blueberry Cobbler,vegetarian,Wild blueberry cobbler.,4 Oz,Dinner,Firegrill Sides & Desserts,Turner Place at Lavery Hall
Broccoli with Lemon Butter,vegetarian,Tender broccoli tossed with lemon butter.,4 Oz,Dinner,Firegrill Sides & Desserts,Turner Place at Lavery Hall
Garlic Mashed Potatoes,vegetarian,Smooth and creamy garlic mashed potatoes.,4 Oz,Dinner,Firegrill Sides & Desserts,Turner Place at Lavery Hall
"Green Beans, Peppers and Bacon",,"A hearty blend of green beans, crumbled bacon, and roasted red peppers.",4 Oz,Dinner,Firegrill Sides & Desserts,Turner Place at Lavery Hall
Honey Wheat Roll,vegetarian,A light and fluffy honey wheat roll.,1 Ea,Dinner,Firegrill Sides & Desserts,Turner Place at Lavery Hall
Mushroom Sauce,vegan,A savory mushroom sauce.,2 Oz,Dinner,Firegrill Sides & Desserts,Turner Place at Lavery Hall
Roasted Root Vegetables,vegan,Hearty potatoes and carrots roasted with shallots and fresh rosemary.,4 Oz,Dinner,Firegrill Sides & Desserts,Turner Place at Lavery Hall
Southern Succotash,vegetarian,This new take on a Southern staple combines yellow corn with lima bean and chopped red pepper.,4 Oz,Dinner,Firegrill Sides & Desserts,Turner Place at Lavery Hall
Fried Rice,vegetarian,"Fried rice with egg, carrots, garlic, green onion and soy sauce.",13 Oz,Dinner,Origami Grill,Turner Place at Lavery Hall
Garlic Ginger Pork Stir Fry,,"Fried rice tossed with soy sauce, garlic ginger pork, and fresh vegetables.",10 Oz,Dinner,Origami Grill,Turner Place at Lavery Hall
Garlic Ginger Pork Stirfry with Steamed Rice,,Steamed white rice topped with garlic ginger pork stir fry.,1 Serving,Dinner,Origami Grill,Turner Place at Lavery Hall
Grilled Tofu,vegan,Grilled tofu with vegetables.,6 Oz,Dinner,Origami Grill,Turner Place at Lavery Hall
Grilled Tofu with Fried Rice*,vegetarian,Classic fried rice mixed with grilled tofu and tossed in soy sauce and Yum Yum sauce.,1 Each,Dinner,Origami Grill,Turner Place at Lavery Hall
Grilled Tofu with Steamed Rice**,vegetarian,"Steamed white rice, grilled onions, red peppers, and carrots mixed with grilled tofu tossed in soy sauce and Yum Yum sauce.",1 Each,Dinner,Origami Grill,Turner Place at Lavery Hall
Steamed Rice,vegan,Steamed white rice.,13 Oz,Dinner,Origami Grill,Turner Place at Lavery Hall
Yum Yum Sauce,vegetarian,"A creamy, slightly sweet, mayo based sauce seasoned with paprika and other spices.",3 Oz,Dinner,Origami Grill,Turner Place at Lavery Hall
California Roll,,"Cooked crab meat, cucumber, and avocado.",1 Roll,Dinner,Sushi,Turner Place at Lavery Hall
Salmon Nigiri Sushi,,Raw salmon over rice.,2 Pieces,Dinner,Sushi,Turner Place at Lavery Hall
